step,train/reward_mean,train/reward_std,train/policy_kl,train/gen_length_mean,train/grad_norm,train/loss,train/learning_rate,train/beta_adaptive,train/clipped_ratio_frac,train/advantage_mean,train/advantage_std,train/turns_mean,train/r1_mean,train/r2_mean,train/r3_mean,train/r4_mean,train/r5_mean,train/episode_seconds,train/wall_seconds
0,0.23750001192092896,0.03750000149011612,6.653014421463013,512.0,0.018163112923502922,0.26613970994949343,4.997482666353287e-06,1.0,0.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,74.80604290962219,74.80604934692383
1,0.25,0.05000000447034836,12.485302925109863,512.0,4619.2939453125,12.8830898986198,4.989935734988098e-06,1.0,1.0,1.4901161193847656e-07,0.9999997615814209,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,68.50065994262695,150.18300366401672
2,0.22499999403953552,0.02499999850988388,8.762360572814941,512.0,1246.8631591796875,9.100992642343044,4.977374404419838e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,69.8765799999237,220.0717589855194
3,0.22499999403953552,0.02499999850988388,6.899797439575195,512.0,48.56766891479492,6.9075967669487,4.959823971496575e-06,1.0,0.2158203125,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,71.13981032371521,291.248247385025
4,0.23750001192092896,0.03750000149011612,6.589184522628784,512.0,37.53068923950195,6.595208287239075,4.937319780454559e-06,1.0,0.2021484375,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,71.23939824104309,362.50222659111023
5,0.25,0.05000000447034836,6.585293292999268,512.0,31.784725189208984,6.589884877204895,4.909907151739634e-06,1.0,0.0859375,1.4901161193847656e-07,0.9999997615814209,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,72.23862338066101,434.75262475013733
6,0.20000000298023224,0.0,6.475884675979614,512.0,4.087952136993408,6.475884675979614,4.8776412907378845e-06,1.0,0.005859375,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,71.53465509414673,506.30291867256165
7,0.22499999403953552,0.02499999850988388,6.413182258605957,512.0,6.724806308746338,6.413636475801468,4.8405871765993435e-06,1.0,0.0029296875,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,71.68083310127258,578.047988653183
8,0.2750000059604645,0.0,6.420485973358154,512.0,2.4417572021484375,6.420485973358154,4.7988194313786275e-06,1.0,0.0009765625,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,70.74446320533752,648.8044729232788
9,0.20000000298023224,0.0,6.486863851547241,512.0,0.664190948009491,6.486863851547241,4.752422169756048e-06,1.0,0.001953125,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,71.19903922080994,720.0359797477722
10,0.26249998807907104,0.012500002980232239,6.711604118347168,512.0,1.039759635925293,6.7115567326545715,4.701488829641845e-06,1.0,0.0,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,70.9672462940216,791.0280346870422
11,0.2875000238418579,0.012500002980232239,6.536609411239624,512.0,1.9150428771972656,6.536542177200317,4.646121984004666e-06,1.0,0.001953125,-1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.5833333333333333,1.0,0.0,70.8780345916748,862.1679155826569
12,0.2750000059604645,0.0,6.548018455505371,512.0,0.16634467244148254,6.548018455505371,4.586433134303257e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,70.91331028938293,933.0946822166443
13,0.25,0.05000000447034836,6.5434770584106445,512.0,1.1411259174346924,6.543636500835419,4.522542485937369e-06,1.0,0.0,1.4901161193847656e-07,0.9999997615814209,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,70.3309063911438,1003.4358978271484
