task_id,without_mcp_pass,with_mcp_pass,without_mcp_reason,with_mcp_reason
1,0,0,assertion_error,assertion_error
2,1,1,pass,pass
3,1,1,pass,pass
4,1,1,pass,pass
5,0,0,assertion_error,assertion_error
6,1,1,pass,pass
7,1,1,pass,pass
8,1,1,pass,pass
9,0,0,assertion_error,assertion_error
10,1,1,pass,pass
11,1,1,pass,pass
12,1,1,pass,pass
13,0,0,assertion_error,assertion_error
14,0,0,assertion_error,assertion_error
15,0,0,runtime_error,assertion_error
16,0,0,assertion_error,assertion_error
17,1,1,pass,pass
18,1,1,pass,pass
19,1,1,pass,pass
20,0,0,assertion_error,assertion_error
21,0,0,assertion_error,assertion_error
22,0,0,assertion_error,assertion_error
23,1,1,pass,pass
24,0,0,runtime_error,runtime_error
25,0,1,assertion_error,pass
26,0,0,assertion_error,assertion_error
27,0,0,assertion_error,assertion_error
28,0,1,name_error,pass
29,1,1,pass,pass
30,1,0,pass,assertion_error
31,0,0,assertion_error,assertion_error
32,0,1,assertion_error,pass
33,0,0,name_error,name_error
34,0,0,assertion_error,runtime_error
35,1,0,pass,assertion_error
36,0,0,runtime_error,runtime_error
37,0,0,runtime_error,runtime_error
38,1,0,pass,assertion_error
39,0,0,assertion_error,name_error
40,1,1,pass,pass
41,1,1,pass,pass
42,1,0,pass,assertion_error
43,0,0,assertion_error,assertion_error
44,0,0,assertion_error,assertion_error
45,0,0,name_error,name_error
46,1,1,pass,pass
47,0,0,assertion_error,assertion_error
48,0,0,assertion_error,assertion_error
49,1,1,pass,pass
50,1,1,pass,pass
51,1,1,pass,pass
52,1,1,pass,pass
53,0,0,assertion_error,assertion_error
54,1,1,pass,pass
55,1,0,pass,assertion_error
56,1,0,pass,assertion_error
57,1,1,pass,pass
58,1,1,pass,pass
59,0,0,assertion_error,assertion_error
60,0,0,assertion_error,runtime_error
61,0,0,syntax_error,assertion_error
62,1,1,pass,pass
63,0,0,assertion_error,assertion_error
64,0,1,runtime_error,pass
65,0,0,runtime_error,runtime_error
