step,train/reward_mean,train/reward_std,train/policy_kl,train/gen_length_mean,train/grad_norm,train/loss,train/learning_rate,train/beta_adaptive,train/clipped_ratio_frac,train/advantage_mean,train/advantage_std,train/turns_mean,train/r1_mean,train/r2_mean,train/r3_mean,train/r4_mean,train/r5_mean,train/episode_seconds,train/wall_seconds
0,0.23750001192092896,0.03750000149011612,0.0,298.5,114823.359375,-0.712910024364989,4.998766400914329e-06,0.0054134113294645085,0.05360134003350084,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,48.218929290771484,48.218931436538696
1,0.22499999403953552,0.02499999850988388,0.24667881429195404,512.0,1275.7086181640625,9.130574227498244e-05,4.9950668210706795e-06,1.0,0.0029296875,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,70.25092053413391,137.23508620262146
2,0.20000000298023224,0.0,1.2695710062980652,512.0,354.4718933105469,1.2695710062980652,4.9889049115077e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,71.08791160583496,208.39757704734802
3,0.22499999403953552,0.02499999850988388,33.40591621398926,512.0,1875.3748779296875,33.40558618307114,4.980286753286196e-06,1.0,0.0009765625,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,71.04268431663513,279.51719975471497
4,0.20000000298023224,0.0,0.16279305517673492,512.0,380.9974060058594,0.16279305517673492,4.9692208514878445e-06,1.0,0.001953125,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,70.93272519111633,350.50603699684143
5,0.2750000059604645,0.025000005960464478,1.537640924905336,359.0,848.4664306640625,1.157916310769934,4.9557181268217225e-06,1.0,0.24651810584958217,0.0,0.9999996423721313,1.0,0.0,0.5,0.5,1.0,0.0,49.677541971206665,400.19737815856934
6,0.22499999403953552,0.02499999850988388,1.4892407655715942,512.0,1990.608642578125,1.5975021123886108,4.939791904846869e-06,1.0,0.8125,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,70.80898475646973,471.0848321914673
7,0.23750001192092896,0.03750000149011612,1.6569387316703796,512.0,8863.1474609375,1.9544637203216553,4.921457902821578e-06,1.0,0.98828125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,70.95763897895813,542.0735800266266
8,0.22499999403953552,0.02499999850988388,8.187667608261108,512.0,36886.09765625,8.580365716479719,4.900734214192358e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,70.1955738067627,612.2810528278351
9,0.2750000059604645,0.0,4.321913719177246,512.0,7289.7802734375,4.321913719177246,4.8776412907378845e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,70.84438157081604,683.1314382553101
10,0.22499999403953552,0.02499999850988388,8.165202140808105,512.0,3652.26708984375,8.5596160502173,4.852201922385564e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,69.98148894309998,753.1237456798553
11,0.23750001192092896,0.03750000149011612,7.696106195449829,512.0,2349.498046875,8.08143557049334,4.824441214720629e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,67.54335594177246,820.6803719997406
12,0.20000000298023224,0.0,7.643335342407227,512.0,3653.33349609375,7.643335342407227,4.794386564209953e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.54248666763306,888.2352316379547
13,0.26249998807907104,0.012500002980232239,7.627567768096924,512.0,6396.1171875,8.010180462151766,4.762067631165049e-06,1.0,1.0,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,67.33014678955078,955.6209852695465
14,0.23750001192092896,0.03750000149011612,9.380218029022217,512.0,841.142333984375,9.749388586729765,4.72751631047092e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.1282331943512,1023.7624065876007
15,0.22499999403953552,0.02499999850988388,9.720566749572754,512.0,1191.888427734375,10.081191580742598,4.690766700109659e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,67.85022473335266,1091.6207945346832
16,0.23750001192092896,0.03750000149011612,8.329447269439697,512.0,601.789794921875,8.66938991099596,4.65185506750986e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,67.7905867099762,1159.4211254119873
17,0.20000000298023224,0.0,8.201901912689209,512.0,576.3935546875,8.201901912689209,4.610819813755038e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.69404244422913,1227.1282658576965
18,0.26249998807907104,0.012500002980232239,9.586509704589844,512.0,943.4844970703125,9.969062559306622,4.567701435686405e-06,1.0,1.0,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,67.44838881492615,1294.598206281662
19,0.22499999403953552,0.02499999850988388,9.138758182525635,512.0,316.968994140625,9.495770625770092,4.522542485937369e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,67.45696091651917,1362.0761518478394
20,0.20000000298023224,0.0,8.837590217590332,512.0,480.7676086425781,8.837590217590332,4.475387530939226e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.05467915534973,1430.1456677913666
21,0.26249998807907104,0.012500002980232239,8.960160255432129,512.0,413.0624694824219,9.287773467600346,4.426283106939474e-06,1.0,1.0,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,70.29117703437805,1500.4530146121979
22,0.20000000298023224,0.0,7.443153619766235,512.0,162.0207061767578,7.443153619766235,4.3752776740761495e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,72.426842212677,1572.9099066257477
23,0.22499999403953552,0.02499999850988388,8.425530910491943,512.0,871.9725952148438,8.699727147817612,4.322421568553529e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,69.98244118690491,1642.9018795490265
24,0.20000000298023224,0.0,8.014596462249756,512.0,965.9417724609375,8.014596462249756,4.267766952966369e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.14925122261047,1711.0970788002014
25,0.25,0.05000000447034836,7.1574671268463135,512.0,138.4144744873047,7.282804310321808,4.211367764821722e-06,1.0,1.0,1.4901161193847656e-07,0.9999997615814209,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,68.30155515670776,1779.419358253479
26,0.22499999403953552,0.02499999850988388,6.719067096710205,512.0,135.78948974609375,6.838946729898453,4.15327966330913e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,69.166836977005,1848.8150506019592
27,0.25,0.0,6.880171060562134,512.0,154.04454040527344,6.880171060562134,4.093559974371725e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,77.22749400138855,1926.0755944252014
28,0.22499999403953552,0.02499999850988388,6.684595108032227,512.0,70.61930847167969,6.738452643156052,4.032267634132442e-06,1.0,1.0,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,73.59144234657288,1999.6759722232819
29,0.22499999403953552,0.02499999850988388,6.941539764404297,512.0,37.16769027709961,6.954666018486023,3.969463130731183e-06,1.0,0.2119140625,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,75.83542132377625,2075.5220143795013
30,0.20000000298023224,0.0,6.567880868911743,512.0,29.389530181884766,6.567880868911743,3.905208444630326e-06,1.0,0.107421875,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,69.79906249046326,2145.334507703781
31,0.20000000298023224,0.0,6.595531940460205,512.0,34.41897201538086,6.595531940460205,3.839566987447492e-06,1.0,0.0859375,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,76.85028076171875,2222.2456052303314
32,0.25,0.05000000447034836,6.6560094356536865,512.0,17.290372848510742,6.657062649726868,3.772603539375929e-06,1.0,0.03125,1.4901161193847656e-07,0.9999997615814209,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,69.2699704170227,2291.5297842025757
33,0.22499999403953552,0.02499999850988388,6.69818377494812,512.0,20.774219512939453,6.7009996473789215,3.7043841852542884e-06,1.0,0.0283203125,2.980232238769531e-07,0.9999996423721313,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,69.79768514633179,2361.335871696472
34,0.25,0.05000000447034836,6.445879936218262,512.0,11.945579528808594,6.448269009590149,3.634976249348867e-06,1.0,0.01953125,1.4901161193847656e-07,0.9999997615814209,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,69.56711721420288,2430.9126896858215
35,0.23750001192092896,0.03750000149011612,6.547977447509766,512.0,14.001886367797852,6.55155223608017,3.564448228912682e-06,1.0,0.0126953125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,69.44959926605225,2500.369120836258
36,0.26249998807907104,0.012500002980232239,6.760694265365601,512.0,4.515873908996582,6.762697726488113,3.4928697265869516e-06,1.0,0.013671875,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,69.52565121650696,2569.905326604843
37,0.20000000298023224,0.0,6.807700157165527,512.0,7.7571120262146,6.807700157165527,3.4203113817116955e-06,1.0,0.0078125,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,70.48783707618713,2640.430883407593
38,0.23750001192092896,0.03750000149011612,6.688688516616821,512.0,5.530215263366699,6.689109355211258,3.346844800613229e-06,1.0,0.0068359375,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,70.37578582763672,2710.816404104233
39,0.26249998807907104,0.012500002980232239,6.5126683712005615,512.0,5.260288238525391,6.512393444776535,3.272542485937369e-06,1.0,0.0087890625,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,71.76503205299377,2782.6070868968964
40,0.20000000298023224,0.0,6.625977039337158,512.0,4.021104335784912,6.625977039337158,3.1974777650980737e-06,1.0,0.00390625,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,70.34480810165405,2852.988174676895
41,0.2750000059604645,0.0,6.569685220718384,512.0,4.069843292236328,6.569685220718384,3.121724717912138e-06,1.0,0.0048828125,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,70.14173436164856,2923.1404798030853
42,0.26249998807907104,0.012500002980232239,6.634759426116943,512.0,3.6649978160858154,6.63480019569397,3.045358103491357e-06,1.0,0.0009765625,1.1920928955078125e-06,0.9999991655349731,1.0,0.0,0.5,0.41666666666666663,1.0,0.0,70.07956719398499,2993.230342388153
